Population_2020,Population_2015,Population_2010,Population_2005,Area_Codes,Name(Japanese),Merged,Established after 2005,prefecture_romaji,latitude,longitude
0.0,0.0,0.0,10726.0,45345.0,高崎町,1,0,Miyazaki Ken,31.87164,131.06872
0.0,0.0,0.0,8288.0,45344.0,山田町,1,0,Miyazaki Ken,31.81433,131.03939
0.0,0.0,0.0,11944.0,45343.0,高城町,1,0,Miyazaki Ken,31.80028,131.13031
0.0,0.0,0.0,6935.0,45342.0,山之口町,1,0,Miyazaki Ken,31.78039,131.15361
25591.0,25404.0,24800.0,24545.0,45341.0,三股町,0,0,Miyazaki Ken,31.7166666667,131.1166666667
0.0,0.0,0.0,11614.0,45322.0,南郷町,1,0,Miyazaki Ken,31.53414,131.3715
0.0,0.0,0.0,5073.0,45321.0,北郷町,1,0,Miyazaki Ken,31.67692,131.37522
0.0,0.0,0.0,32981.0,45303.0,佐土原町,1,0,Miyazaki Ken,32.02392,131.47406
0.0,0.0,0.0,11580.0,45302.0,田野町,1,0,Miyazaki Ken,31.83911,131.30122
0.0,0.0,0.0,28696.0,45301.0,清武町,1,0,Miyazaki Ken,31.85558,131.38997
17638.0,19538.0,21606.0,23079.0,45209.0,えびの市,0,0,Miyazaki Ken,32.0333333333,130.8
28610.0,30683.0,32614.0,34087.0,45208.0,西都市,0,0,Miyazaki Ken,32.1,131.4
16822.0,18779.0,20453.0,22118.0,45207.0,串間市,0,0,Miyazaki Ken,31.45,131.2166666667
59629.0,61761.0,63223.0,58666.0,45206.0,日向市,0,0,Miyazaki Ken,32.4166666667,131.6166666667
43670.0,46221.0,48270.0,38923.0,45205.0,小林市,0,0,Miyazaki Ken,31.9833333333,130.9666666667
50848.0,54090.0,57689.0,44227.0,45204.0,日南市,0,0,Miyazaki Ken,31.6,131.3666666667
118394.0,125159.0,131182.0,121635.0,45203.0,延岡市,0,0,Miyazaki Ken,32.5666666667,131.65
160640.0,165029.0,169602.0,133062.0,45202.0,都城市,0,0,Miyazaki Ken,31.7166666667,131.05
401339.0,401138.0,400583.0,310123.0,45201.0,宮崎市,0,0,Miyazaki Ken,31.9,131.4166666667
14386.0,15823.0,17054.0,18276.0,44462.0,玖珠町,0,0,Ōita Ken,33.2833333333,131.15
8541.0,9645.0,10421.0,11108.0,44461.0,九重町,0,0,Ōita Ken,33.2166666667,131.1833333333
27723.0,28058.0,28221.0,27640.0,44341.0,日出町,0,0,Ōita Ken,33.3666666667,131.5166666667
0.0,0.0,0.0,9974.0,44325.0,安岐町,1,0,Ōita Ken,33.46661,131.69283
0.0,0.0,0.0,5952.0,44324.0,武蔵町,1,0,Ōita Ken,33.50039,131.71969
0.0,0.0,0.0,13031.0,44323.0,国東町,1,0,Ōita Ken,33.56531,131.73167
1725.0,1991.0,2189.0,2469.0,44322.0,姫島村,0,0,Ōita Ken,33.7166666667,131.6333333333
0.0,0.0,0.0,5249.0,44321.0,国見町,1,0,Ōita Ken,33.67858,131.59375
